OTU	Status2	Status3									
93ead29dbef6f87cc87c1cc58f16a6d0	soil_derived	NA									
f25d25e9fc62f25aaeaae891eadbc20d	soil_derived	NA									
9b18c107ea34e226190288c7cc0f2b9d	soil_derived	NA									
c3b4c2a137cdeba327480486dd2ac010	soil_derived	NA									
a6eeb03309de4a6c20b8db7de7b553b3	soil_derived	NA									
22b380862beeae577be4ce0a98ce6478	soil_derived	NA									
a9c399cc8ff58a6225925d20cefa7e9f	soil_derived	NA									
5c4b8e8d73b24b7e8cba9594a4bbcb13	soil_derived	NA									
42c235487808a08cb1512aa6e0126af6	soil_derived	NA									
516de89e687c2c040993ad02bad12092	soil_derived	NA									
15dac1e6a414861c0db80d636ffb8a9a	soil_derived	NA									
205cb0759d2040cc72a1a999c75dda96	soil_derived	NA									
3c46d3b78d47ca6d1f9976d3469cd633	soil_derived	NA									
8ba3a49972b48155eb7a00c1d380cfe8	soil_derived	NA									
58b4660aec0b93be7e527e83ef879c1d	soil_derived	NA									
d6e382cd6e13432dd538368eba926bc8	soil_derived	NA									
7b25b74db876bc94d88adc30160d039b	soil_derived	NA									
21444295f48777e7c189281d41c53936	soil_derived	NA									
1d4f746063fef541d1b3d0b29e2820bb	soil_derived	NA									
8ef38e54851733cdedc779fc78cd0605	soil_derived	NA									
b4ae76c5935ae3298759171656cfefb9	soil_derived	NA									
770672502f043cf49ef60abf19d500fa	soil_derived	NA									
46401c2acf0247e31396986ee91c0a93	soil_derived	NA									
89d9daaa863749bbe2cdbff336440b2e	soil_derived	NA									
7ef494abf37dd03490b0eb5ec87c7dfc	soil_derived	NA									
d45a6a219bd42c2d44ea3f5f5c521553	soil_derived	NA									
a7f24e17bc45676eb7785e0395f1874b	soil_derived	NA									
449d2a351e2eca0309f194d0df76e1b2	soil_derived	NA									
12cab09135b6e43a18ce89cf418dc7fe	soil_derived	NA									
7aba2af771911d3ff469ceeebec58cb4	soil_derived	NA									
6198b2b04f2a398804f40ce9e75bdd65	soil_derived	NA									
3e80c8faf8fcd6ce85336ec042206079	soil_derived	NA									
c3006bf8eacf7a0efd0868c591483727	soil_derived	NA									
56e2b8cda2f8c93ea4e0e97e24865c95	soil_derived	NA									
72ebec1581e0125b980cf2411ff88789	soil_derived	NA									
61385756848b6ee1590b5ac2149dd29e	soil_derived	NA									
2b62a25a203753e8b0619584ac78dcfa	soil_derived	NA									
2e295cae8deea5a27a1e3484e1091f2b	soil_derived	NA									
28ee4b9cab8a9080e6f1117171b227a0	soil_derived	NA									
798a4407b5053dafad1e8b1774d9f711	soil_derived	NA									
d336d8b61153f0cb03678b9b09b55800	soil_derived	NA									
1d13c74fa9c611e6477d355c64f31d16	soil_derived	NA									
a85c237fc2333743ac45377ebb0d7c40	soil_derived	NA									
38aba050ffa4fcec7e7ed284cb443c72	soil_derived	NA									
4dc587255091edac89248e2808471a3c	soil_derived	NA									
dc2fd098fa3b6a7b2286789029c10f2d	soil_derived	NA									
9b02e897bdc754cac60a3711f93cc5b2	soil_derived	NA									
37968fa5094ad69525746f9e2e788bbf	soil_derived	NA									
1c9a5a19643228ce9bd19be153989214	soil_derived	NA									
e2210d5db9dfbbe72d1fab31e17684ec	soil_derived	NA									
46397a36cf32bc26305aec6a3ee09b22	soil_derived	NA									
a65a85910e0aeb086bbbf12eed17dc1d	soil_derived	NA									
88df80b30c517c22cc8d3bf4aa478f7c	soil_derived	NA									
cc7632bd08cfe569a57e2a5fc1f0232a	soil_derived	NA									
9faab25f33cc7d46371106573c1d4b1c	soil_derived	NA									
cdb9077aa76e80e3657c8b5d12ced955	soil_derived	NA									
c89d0a8f8452a7ca3f8d10fea61098ab	soil_derived	NA									
9fd9f71e0225f2c7dfbe25b1804769e7	soil_derived	NA									
848db2f5f4f936eec1fc050ef910f692	soil_derived	NA									
3c466c77cb69ee7915ab1100109c38a8	soil_derived	NA									
70750d5447cf0e84594ca3c1720bfc75	soil_derived	NA									
90b65e06d1746733dd2c1f99cda9eca0	soil_derived	NA									
671435dcaf5d48347067ed30fa5f21cb	soil_derived	NA									
1d2e1d88ccdc38d18a78c6de3ec83e94	soil_derived	NA									
dd0adb64c7706a33445bf1e4daffe095	soil_derived	NA									
138fdfa806744f7d45c516c9fa7b7cf0	soil_derived	NA									
12f05caa9f43d92d56428cd7d29ce211	soil_derived	NA									
0e6b9aceadc5babb57f6d34ed0ee97a7	soil_derived	NA									
063f610215bc69ba77ec83e79fd5e241	soil_derived	NA									
e629006e24fe1da1dadc7c9e87791507	soil_derived	NA									
382f456f36013686a9ceddcce2ba9d57	soil_derived	NA									
5a4b8dbaa94040fe435b0168e9516fdb	soil_derived	NA									
65b0209f4d4dcb05d8f3f4d59081f859	soil_derived	NA									
8be80c2d575b77c75f0e39573aab43d4	soil_derived	NA									
a2ed78670b3a4a4da975b867cd626bce	soil_derived	NA									
f6c7b778ceb59f092f2856d4996f377a	soil_derived	NA									
efea6b33587ab9d11adfc02afb6e57fe	soil_derived	NA									
90a1913053ae21c5e5212c56a65a7641	soil_derived	NA									
850bb98d857d2cc806b5f608561720ca	soil_derived	NA									
d2d42b67f9f698a9862bdd9d1a0a1cd7	soil_derived	NA									
e20393169ce073415629144479751e7c	soil_derived	NA									
881d5cede6010025acfc9733cb10b6bd	soil_derived	NA									
0ee803b95794610fe80856b9fb1835fe	soil_derived	NA									
974bfb51c52d13cf7556cd7c55e44041	soil_derived	NA									
77dcc84d3a6ee1d5b0768060dc695532	soil_derived	NA									
2691f1135e99287a02f462b626126def	soil_derived	NA									
58210a40dea07bae6761347b07577ea2	soil_derived	NA									
0b17f301fe67876536b81c2be652c7e7	soil_derived	NA									
f19b0356411b839c5015e9b34c326037	soil_derived	NA									
02843088ded3971e046ddda8059a6b53	soil_derived	NA									
e4e974bd49427df89b4a7a6c69004b45	soil_derived	NA									
4eb2cca2f506e45825e34d51cf4f0f5d	soil_derived	NA									
6022162b6cfbff39717eb6e0f5acec38	soil_derived	NA									
d18d56eb43891b9b4c8d87045b390b12	soil_derived	NA									
bad67463206a8ed911acd5928221be76	soil_derived	NA									
fd49301a3d0b22763f89a7c14632c02e	soil_derived	NA									
326e789b1aaaaffdb2a01c2f0f2b83c0	soil_derived	NA									
f504b3abb0f9a7b8e4f7dea7a94bbf67	soil_derived	NA									
7140412a3f16524f3ba7486a54731b01	soil_derived	NA									
6b102ca921be9dafe861f5079bf5ae71	soil_derived	NA									
ba872b0e4e06fbfcd3feec16120f07d9	soil_derived	NA									
36b6ec7c02268573dcd424bca137ed88	soil_derived	NA									
514b0d18d3e5551f553805fddd7074c8	soil_derived	NA									
1b7708115a94c038e4b0ea69a2261fe8	soil_derived	NA									
3576d9a5c799e388038e7e728681dfcd	soil_derived	NA									
fcc6c0e73086ebd82839e8243be410df	soil_derived	NA									
2b8cb4ecebf249d9e837d36f873ce442	soil_derived	NA									
10e090f9e8b47f2cb7c1e45e4f48eb64	soil_derived	NA									
122cd11f1abf9c2271d3cf33f1a25a73	soil_derived	NA									
4181907a687d9aef7852e773dbe22c2e	soil_derived	NA									
389c125f5a2b48e8b199db48345a4ff6	soil_derived	NA									
83e23e5c3e16c82e488a68021879a725	soil_derived	NA									
d102b6bb9ef18578f1fb4d29c6930398	soil_derived	NA									
93c9f63768e25fc0c36d8a857515c9ca	soil_derived	NA									
16528a537df5b89d1d70996289c93451	soil_derived	NA									
80e21a9413f1689d6e733539a8a71fef	soil_derived	NA									
b020f637c674e1ec89fa1fda4bce2ddd	soil_derived	NA									
6535166ac1508d4b304d579ec093df92	soil_derived	NA									
21d7b366296159cc03211513140c8fb8	soil_derived	NA									
9cfa1af65474a6c8603c50634d9c921f	soil_derived	NA									
4b9a9d0cb2a4addb1ed57816c26fa2b3	soil_derived	NA									
88518400769ee838b2e76e5763e89df7	soil_derived	NA									
d183bdb8383a35d767dfdefd0bb82673	soil_derived	NA									
ac9b593f46a0c820827adb833768e41a	soil_derived	NA									
46ed40f7429ceb7b0c3d8f9cb0aea5b8	soil_derived	NA									
ef752bd056f0faa21a290f9e17c44d3f	soil_derived	NA									
07a2780075aa5ce40a9f8466762b145a	soil_derived	NA									
51174946ae5e9f8e15d20861aac81369	soil_derived	NA									
81fafa07e387c3f0d3fe98d82040d48c	soil_derived	NA									
00dd6163a0ff44c4239904f714411567	soil_derived	NA									
a390e70b7038a17e660939bb7b9621f9	soil_derived	NA									
8bb709ca2b51189b0e7915e160d6dcfc	soil_derived	NA									
77d25a9ea1b56993c61be98b09162ab5	soil_derived	NA									
15117b16abbe16516dd52409133f6ae6	soil_derived	NA									
520bf15ba1dcf6fb52d03eb8b3f71aa7	soil_derived	NA									
4be3be4c9edc10183d4e9ae3aaced2c1	soil_derived	NA									
8d65a5b96c0c08d7e5d4007ca0224336	soil_derived	NA									
521f3fdbdf9c0193409dc6da9df18453	soil_derived	NA									
d5366b040e8c23ef1c0ea864cd0f85ca	soil_derived	NA									
1c97f082a6aa91e5d6f3c15d2a174548	soil_derived	NA									
d27451229f6ea83f97c2891e961a4194	soil_derived	NA									
9289506db2994929736ecb4b869ff042	soil_derived	NA									
bf6c0ba2b08ac2f09d1f9c1f19c426a2	soil_derived	NA									
def70c66e0c2b59512a862bd08d20705	soil_derived	NA									
1daeee95e3c7ef78b4de0349e4329e25	soil_derived	NA									
6fdd3d33659cf3ba6c59b1cf4565ee78	soil_derived	NA									
46e7f320a5d28694ba5ba10a77f57b9d	soil_derived	NA									
583406808c002869e30499d870b1cb54	soil_derived	NA									
b667857c0897426f6ac7df15a28ca8b2	soil_derived	NA									
170fe693aeb3fdb06bdf193b3921e7c2	soil_derived	NA									
0e1e92a4818eda5801f6d95dd3435316	soil_derived	NA									
06fb62a440e800bd066a212c116a8622	soil_derived	NA									
6878f6d74c5ed5d06ceaa965f2359d3e	soil_derived	NA									
67e7b6b611da335aa30b630584fb9194	soil_derived	NA									
11e83afa79129298d7b3e077777d15ca	soil_derived	NA									
9d948829f1482e9518fafc67ab7b8030	soil_derived	NA									
f30b7751ce08b1e6bb39ecff14cd3874	soil_derived	NA									
12a4a94219be317ed036760c198b3965	soil_derived	NA									
bab1143cfbd74c8b4155a577b25c1b37	soil_derived	NA									
663c626fb5e7bb78ad9d05842af31ff3	soil_derived	NA									
ba9ea7147a5af19d73efb9120bbf2d06	soil_derived	NA									
685271217d460f053e77aabe242bcf01	soil_derived	NA									
f32beca6947ae5b3518bc6b30583ed06	soil_derived	NA									
0278c53c2b7d07da0dfc0e612a0740ad	soil_derived	NA									
a37df47016f64683d7a92f223010394a	soil_derived	NA									
bf39c622bb3553cc38ca496d124fb4d2	soil_derived	NA									
e805c84834c7744634ed32d49466439c	soil_derived	NA									
1d7aa43239cc329a71f7ddb143e57952	soil_derived	NA									
5fa19ce6403de5c1aec0480d2a690463	soil_derived	NA									
bdc97e7c8cffc0c0ffd789dbcee1bcb2	soil_derived	NA									
4dbb8f5490c7368a1d6e2d4b9786aa39	soil_derived	NA									
17640c7be469a2ad3b9b98b2b889460a	soil_derived	NA									
08b042432b5af9706c62f6784512e625	soil_derived	NA									
84532d67ee36cff375cc1a16dd764d83	soil_derived	NA									
49e60e2013f27edc16e1a7f83c96e9f8	soil_derived	NA									
6d9932e8aa88c4200110e6a137315ca8	soil_derived	NA									
4b36c4da1ee95948f59738a5cb83bf31	soil_derived	NA									
2d9af77effa88f6fa6e0463e7e60964c	soil_derived	NA									
b4c831811289473514281e719d823acd	soil_derived	NA									
eb924681d2c66c7124779f7f9dd67f58	soil_derived	NA									
5d3eb96dcda588f61dc6f358bedf0ea7	soil_derived	NA									
a2d5a567d3ef92ebbefdcfa845fae4e5	soil_derived	NA									
fed9c7236397517bc7d74c2844ab2b49	soil_derived	NA									
e5e13f7fb78d49755e1d669bbe380801	soil_derived	NA									
f3dc3db8a7081138428962cfa69de216	soil_derived	NA									
3958713e310672cb12dd38597a87a94f	soil_derived	NA									
76a8abe92ed651993188d291d4812e98	soil_derived	NA									
7015673c0a83fc799553144feb9d49f8	soil_derived	NA									
