OTU	Status4	Status5
abfd3d7254ec20be02da8c33d84b2e72	Rhizosphere	No
149cc4b435c8b350f732622fb0032401	Root_endosphere	No
47a0264860cd0265ed81fee4efe834b3	Bulk	No
1b08046a79d56b975498759dabbf9807	Root_endosphere	No
2ecd09f7127e77478a60dd777c633a7d	Phyllosphere	Also_bulk
ce69bc9f972c7f83f0bc48e0681b605c	Root_endosphere	No
71ed82518a56ef00c36804de4bc8484c	Bulk	No
0d14f69a588e0d60ec57f02f4abf387b	Bulk	No
26f46f3a1f285b3334effbe3d4f9d4b5	Bulk	No
dbe48a613a47af5cc15aa4861beda9c0	Root_endosphere	No
d9c97d9e7c9cabaf62dd5f1b3b2aa619	Bulk	No
8f1aba68b8999486500e0a2e9d293090	Bulk	No
76254d7a198a20935b0638eaa82bc8b3	Root_endosphere	No
2ad4b9e187079cf8caecb7c3a18d6b41	Rhizosphere	No
f0216a9ec82ec3815ef4d18e2ac16035	Rhizosphere	No
aef5b074d50e405c62a8d26a7c6652d3	Rhizosphere	No
33a00e5033b74703e46c3d5c4ad9172d	Rhizosphere	No
37a9cb71afa549132b41a8fd0c20f1cd	Bulk	No
051456ae0a0a7754a2bbd66889423261	Root_endosphere	No
d040066e0160b984b2c3b89c2f566e5b	Bulk	No
2cd30e9eda91687ba73dcae76f4f1880	Phyllosphere	Also_bulk
23a6a4d0bc46bdc1e78afa266272e9a0	Bulk	No
342169b53df4aadd28f8921c5993778b	Rhizosphere	No
8c14a42bc526f653aac4854650dd9db3	Rhizosphere	No
e5675f7f090d8aea11061eadc9537179	Rhizosphere	No
c6db1c17cb4f59fbd63310c1b2f8cac2	Rhizosphere	No
029da8aff34bafb8675620c98fc733e9	Rhizosphere	No
38240112cf38c052bce7fa994398302e	Rhizosphere	No
53550c6558736ed7e5b114604e0e9e70	Bulk	No
648fd708441b0459908511562c8b61d4	Bulk	No
844f23e05e5b5a38efab0627e2f2edcf	Rhizosphere	No
bf0d1c179bb8960b81369ff41fb2b9dd	Rhizosphere	No
5d7fa7a2accaa1062bd682643325ad74	Rhizosphere	No
6aab2c0c3f1aba66edb15080a7ca8a5a	Bulk	No
2ec279ca12f655917d6280e55eb56293	Root_endosphere	No
773fbaae4099fb183f2a32822b2c9a14	Phyllosphere	Also_bulk
b5cca34c2579746f00dffc0a60f676c0	Rhizosphere	No
2c2f9db2e5d973d7a60e9eb3978de8be	Rhizosphere	No
8f30fe33a1d1077b0b95c0008a033be0	Root_endosphere	No
5ad47cd147d5488a7cec7d125808aedb	Rhizosphere	No
853f371830d077a18f97bbb1ca532d03	Rhizosphere	No
3e34a5a1feaac7097d7d251a62d84113	Rhizosphere	No
7d902d3064811ab2c2e57110ea2e84a5	Root_endosphere	No
8742f424dc8f8bf98d78c7849b86bb20	Rhizosphere	No
fb4b35787217b93d90a548a87c6512c7	Bulk	No
800ca8fbe303767bd234fe87afeb242a	Rhizosphere	No
350f3ef3a4a2492223a3e0289a08a23f	Rhizosphere	No
6bb2953ea50879bd61faa8ab5400f4ce	Bulk	No
73685289bc86236f252522bc1bacf0da	Root_endosphere	No
03e9dc32fd55c9772e269514a6fb781f	Bulk	No
73cf752ccc19c58238459141d7e50e01	Bulk	No
cd507e03a2b27ebe7ccf49dd65af7204	Rhizosphere	No
8f4a97dcb4b0fc89f35c74a5eed23bbb	Bulk	No
2fc87e04355697543e348a8a99daf9db	Rhizosphere	No
c4b276274c4c0c69c691bc82dce40eea	Rhizosphere	No
7cb27a579f4530a49657642384337a6d	Rhizosphere	No
79e7fb6b2a686d6b49b257cf8dd470a4	Root_endosphere	No
983698ae973e9f3350ee6521f96f8546	Rhizosphere	No
b2ceeb0d9b9d862eb7a9c7421190ed6a	Root_endosphere	No
bcd4fce59cd71f696e5f76acb7b7ecf6	Bulk	No
a5a2c87d0127d100b92267af2eede855	Bulk	No
9bbf40eaf0d53e4d79e2be151a7a812a	Bulk	No
5ad8343f44f7ae85d3fc1f1f4886b317	Bulk	No
a26f53d090cdc6a1486230d30a581990	Root_endosphere	No
4939f6ffda81ac5ae721eb06eaec3c2f	Bulk	No
ea193dd8742988dc224192cefdcf2ea7	Root_endosphere	No
e9b0959ee561652137c358df14c0e763	Phyllosphere	Also_bulk
40ab1562e317ce44be48df43919b6ae3	Root_endosphere	No
3c36d673d9ff47b04a2467db6d780b00	Rhizosphere	No
0b5ebef62889255aa4f17a45b097ba4a	Rhizosphere	No
77e3864071ebdf9fe4d35bd58fd9a90f	Bulk	No
276c21f2de143184e905a6968f648f2c	Bulk	No
d16f55123b38b2985f5bef3ea47e0adb	Rhizosphere	No
a031f761e9178bb9712c09aa81ab0086	Rhizosphere	No
748f34c786c910823f8ec2b036bedda8	Rhizosphere	No
54df23121f040d8523219431d3d97282	Root_endosphere	No
d105addefcbe0a054fafce6411c9eb08	Bulk	No
cfa516b196e2ac33a94c9185e8a8d786	Rhizosphere	No
1d631fdb734b568f565f6345c8a76bd1	Rhizosphere	No
e8a435cbdd25136e3639dd562e4bce9d	Bulk	No
c89d0a8f8452a7ca3f8d10fea61098ab	Bulk	No
200a35c762899fe4e7aa4378985b64c4	Bulk	No
8c6fdf188f832a8cab60b3847d2dd190	Bulk	No
8a1d7d3d0a775a74916da2cce8712b3c	Rhizosphere	No
bd0b5beafca63c8928d15c0487075229	Root_endosphere	No
939631b802708f71a94b3f1e073c92c0	Rhizosphere	No
d1930b8659ffa7f65acb31eb53da66ef	Bulk	No
9d948829f1482e9518fafc67ab7b8030	Bulk	No
6bb85f0b3b2037d7f32687ce0b003625	Bulk	No
e6e3999e1a35997d6773ddd9608ca6cc	Rhizosphere	No
7fd0031c4bdd8edfc25c0309f7840bbe	Bulk	No
1f6c3ed8e36cb87ed354390f2c63529e	Rhizosphere	No
507fc372b66c390067560e67c2c87ca2	Rhizosphere	No
56c1fcc9da23453b9e609729de7aa43b	Root_endosphere	No
3e80c8faf8fcd6ce85336ec042206079	Bulk	No
eac9d4df8e496b6638030ca678630808	Bulk	No
f1228b8f5f0223dc2526926de9afb030	Bulk	No
3a909f0171bb07e908787ebf8980b164	Bulk	No
eb1448e7f4a8dfd698b14b54aabff33d	Bulk	No
cee91f1d15061336104033c43a10a24c	Rhizosphere	No
716aaa15609ce8e8f56eeb8987451034	Bulk	No
19dd1cf572000e32ab20a61e9d8a91d3	Phyllosphere	Also_bulk
6ba5084558b77e896988e88064ec62a1	Rhizosphere	No
b02ea307d35f3e87091713bc2c7e60fc	Rhizosphere	No
45827a2a1f7525aaa247ad989c30fe93	Rhizosphere	No
ac037c1bc623f80ff5c2a844a4903d16	Root_endosphere	No
dc4860ce782f1fd6739268d32444e1c2	Rhizosphere	No
db22977ee0753374e35bc79dfeb5119b	Bulk	No
fc50adfd6d252635d299a7831ba29e6b	Bulk	No
681cb09f91e911bdfc4b2289161d8b06	Bulk	No
a30b49e51d8d559da3ff9a4ff5f1ef31	Rhizosphere	No
8affa89bc923969bcba01d04f110ab6a	Phyllosphere	Also_bulk
c485dcfdbabadbd7bce783e66b003f50	Root_endosphere	No
14603d3feb167224e18b6c98919e9cfd	Bulk	No
f74ea97e490def9430cce8e073100c0c	Rhizosphere	No
9ea16a6dc9a4ad142667b79fe119f99b	Rhizosphere	No
8c4c3afaff5b85733fc0a53c7cec0ed0	Rhizosphere	No
92af15407017baeaee16737e19053f0a	Bulk	No
3554904d70f80fdef7d78c623c687952	Phyllosphere	No
0608eb8126acddf24dd69b7a12d20345	Root_endosphere	No
41f9c317ba74303c90986d3a8d39cc3d	Rhizosphere	No
